                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.66466,                0.41566,                0.98203,                 0.8092,                0.72801,                0.78623,                0.52421,                 1.2957,                 0.9671,                 1.5563,               0.006205,               0.006205,               0.006205
                     48,                0.65454,                0.40872,                0.97615,                0.82056,                0.72781,                0.78657,                0.52549,                 1.2946,                0.96775,                 1.5579,              0.0061225,              0.0061225,              0.0061225
                     49,                0.64857,                0.40703,                0.97276,                0.81794,                0.72395,                0.78857,                0.52875,                 1.2889,                0.98157,                 1.5516,                0.00604,                0.00604,                0.00604
                     50,                0.63891,                 0.4025,                0.96715,                0.81655,                 0.7195,                0.78484,                0.52644,                 1.2963,                0.98999,                 1.5617,              0.0059575,              0.0059575,              0.0059575
                     51,                0.63188,                0.39694,                0.96355,                0.83482,                0.71185,                0.78681,                0.52512,                 1.2872,                 0.9842,                 1.5631,               0.005875,               0.005875,               0.005875
                     52,                0.62398,                0.39337,                0.95747,                0.82687,                0.71743,                0.78791,                0.52522,                 1.2945,                0.95287,                 1.5744,              0.0057925,              0.0057925,              0.0057925
                     53,                0.61772,                0.38742,                0.95432,                0.82139,                0.72166,                0.78498,                0.52432,                 1.2852,                0.95972,                 1.5656,                0.00571,                0.00571,                0.00571
                     54,                0.60858,                 0.3825,                0.94993,                0.82841,                0.71761,                0.78773,                0.52566,                 1.2917,                0.98125,                 1.5679,              0.0056275,              0.0056275,              0.0056275
                     55,                0.60591,                0.38247,                0.94823,                0.81362,                0.72037,                 0.7846,                0.52821,                   1.28,                0.99003,                 1.5617,               0.005545,               0.005545,               0.005545
                     56,                0.59826,                0.37618,                0.94425,                0.82024,                0.72836,                0.79182,                0.52849,                 1.2851,                0.96867,                 1.5721,              0.0054625,              0.0054625,              0.0054625
                     57,                0.58507,                0.37036,                0.93616,                0.81928,                0.72523,                 0.7873,                0.52829,                 1.2816,                0.96377,                 1.5727,                0.00538,                0.00538,                0.00538
                     58,                 0.5873,                 0.3695,                0.93907,                0.82135,                0.72482,                0.78934,                0.53296,                 1.2779,                0.97175,                 1.5706,              0.0052975,              0.0052975,              0.0052975
                     59,                0.57427,                0.36199,                 0.9316,                0.83066,                0.72036,                0.78939,                0.52873,                 1.2835,                0.95917,                 1.5802,               0.005215,               0.005215,               0.005215
                     60,                0.57303,                 0.3608,                0.92999,                0.83914,                 0.7152,                0.79283,                0.53298,                 1.2784,                0.96294,                  1.572,              0.0051325,              0.0051325,              0.0051325
                     61,                0.56416,                0.35683,                0.92557,                0.81973,                0.72917,                 0.7918,                 0.5311,                 1.2815,                0.96368,                 1.5773,                0.00505,                0.00505,                0.00505
                     62,                0.55524,                0.35114,                0.92148,                0.84321,                0.71526,                0.78974,                 0.5305,                 1.2813,                0.95938,                 1.5858,              0.0049675,              0.0049675,              0.0049675
                     63,                0.54934,                0.34753,                0.91801,                0.82394,                0.72282,                0.78798,                0.53196,                 1.2814,                0.97027,                 1.5936,               0.004885,               0.004885,               0.004885
                     64,                0.54186,                 0.3438,                0.91486,                0.82837,                0.72366,                0.79039,                 0.5324,                 1.2778,                  0.957,                 1.5943,              0.0048025,              0.0048025,              0.0048025
                     65,                0.53786,                 0.3415,                0.91076,                0.83796,                0.71879,                0.79206,                0.53344,                 1.2789,                0.95675,                 1.5909,                0.00472,                0.00472,                0.00472
                     66,                 0.5327,                0.33856,                0.90989,                0.82427,                0.73096,                 0.7916,                0.53484,                 1.2759,                0.96385,                 1.5934,              0.0046375,              0.0046375,              0.0046375
                     67,                0.52647,                0.33463,                0.90639,                0.83148,                0.72914,                0.79297,                0.53706,                 1.2751,                0.96402,                 1.5958,               0.004555,               0.004555,               0.004555
                     68,                0.51986,                0.33128,                0.90337,                0.82738,                0.72747,                0.79338,                0.53678,                 1.2744,                0.95698,                 1.5972,              0.0044725,              0.0044725,              0.0044725
                     69,                0.51306,                0.32791,                0.89917,                 0.8293,                0.72904,                 0.7937,                0.53855,                 1.2728,                0.96933,                 1.5947,                0.00439,                0.00439,                0.00439
                     70,                0.50638,                0.32406,                0.89811,                0.81591,                0.73427,                0.79182,                0.53659,                 1.2743,                0.96574,                 1.5993,              0.0043075,              0.0043075,              0.0043075
                     71,                0.49881,                0.31994,                0.89261,                0.83557,                0.71838,                 0.7922,                0.53753,                 1.2708,                 0.9734,                 1.5998,               0.004225,               0.004225,               0.004225
                     72,                0.49664,                0.31847,                0.89159,                0.82981,                0.72543,                0.79492,                0.53918,                 1.2704,                0.97068,                  1.607,              0.0041425,              0.0041425,              0.0041425
                     73,                0.49388,                0.31777,                0.89216,                0.81857,                0.73243,                0.79282,                0.53714,                 1.2716,                0.96039,                 1.6031,                0.00406,                0.00406,                0.00406
                     74,                0.48416,                0.31312,                0.88572,                0.82408,                0.72646,                0.79228,                0.53887,                 1.2719,                0.96912,                 1.6147,              0.0039775,              0.0039775,              0.0039775
                     75,                0.48051,                0.31077,                0.88432,                0.82082,                0.73175,                0.79355,                0.53717,                 1.2711,                0.95602,                  1.612,               0.003895,               0.003895,               0.003895
                     76,                0.47386,                0.30675,                0.88104,                0.82373,                0.73011,                0.79278,                0.53667,                 1.2713,                  0.959,                 1.6122,              0.0038125,              0.0038125,              0.0038125
                     77,                0.46388,                0.30261,                0.87672,                0.83081,                0.72322,                0.79331,                0.53843,                 1.2671,                0.95435,                 1.6141,                0.00373,                0.00373,                0.00373
                     78,                0.45832,                0.29811,                0.87389,                0.83663,                0.72073,                0.79353,                0.53972,                 1.2684,                0.96643,                 1.6186,              0.0036475,              0.0036475,              0.0036475
                     79,                0.45285,                0.29616,                0.87163,                0.82284,                 0.7303,                0.79245,                0.53849,                 1.2709,                0.96404,                 1.6246,               0.003565,               0.003565,               0.003565
                     80,                0.45173,                0.29568,                0.87112,                 0.8281,                0.72594,                 0.7943,                0.53919,                 1.2697,                 0.9654,                 1.6239,              0.0034825,              0.0034825,              0.0034825
                     81,                0.44558,                0.29101,                0.86922,                0.84079,                0.71841,                0.79474,                0.54009,                 1.2684,                0.95987,                 1.6271,                 0.0034,                 0.0034,                 0.0034
                     82,                 0.4412,                0.28896,                0.86787,                0.83701,                 0.7215,                0.79503,                0.54018,                  1.267,                0.95624,                 1.6271,              0.0033175,              0.0033175,              0.0033175
                     83,                0.43534,                0.28659,                0.86475,                0.84015,                0.71899,                0.79418,                0.54041,                 1.2655,                0.95944,                 1.6286,               0.003235,               0.003235,               0.003235
                     84,                0.42938,                0.28468,                0.86276,                0.82871,                0.72627,                0.79326,                0.53871,                 1.2676,                0.95373,                 1.6348,              0.0031525,              0.0031525,              0.0031525
                     85,                 0.4218,                0.28025,                0.85883,                0.83367,                0.72353,                0.79252,                0.53873,                 1.2689,                0.96213,                 1.6366,                0.00307,                0.00307,                0.00307
                     86,                0.41905,                0.27918,                0.85838,                0.82381,                0.72756,                0.79229,                0.53858,                 1.2689,                 0.9626,                 1.6383,              0.0029875,              0.0029875,              0.0029875
                     87,                  0.417,                0.27705,                0.85794,                0.82944,                0.72439,                 0.7931,                0.53945,                 1.2695,                0.96004,                  1.638,               0.002905,               0.002905,               0.002905
                     88,                0.41106,                0.27446,                0.85542,                0.82009,                0.73057,                 0.7934,                0.53951,                   1.27,                0.95975,                 1.6429,              0.0028225,              0.0028225,              0.0028225
                     89,                0.40639,                0.27121,                0.85463,                0.83147,                0.72247,                0.79423,                0.53951,                 1.2698,                0.96247,                 1.6434,                0.00274,                0.00274,                0.00274
                     90,                0.40205,                0.26972,                0.85277,                0.82794,                0.72687,                0.79427,                 0.5402,                 1.2692,                0.96719,                 1.6437,              0.0026575,              0.0026575,              0.0026575
                     91,                0.39546,                0.26702,                0.84934,                0.83636,                0.72159,                0.79441,                0.54078,                 1.2684,                0.96777,                 1.6457,               0.002575,               0.002575,               0.002575
                     92,                0.38934,                0.26341,                 0.8466,                0.82794,                 0.7278,                0.79481,                0.54184,                 1.2668,                 0.9633,                 1.6482,              0.0024925,              0.0024925,              0.0024925
                     93,                0.38505,                0.26221,                0.84488,                0.82707,                0.72719,                 0.7951,                0.54159,                 1.2667,                0.96415,                 1.6506,                0.00241,                0.00241,                0.00241
                     94,                 0.3856,                0.26232,                 0.8467,                0.82997,                0.72572,                0.79492,                0.54159,                  1.268,                0.96725,                 1.6514,              0.0023275,              0.0023275,              0.0023275
                     95,                 0.3737,                0.25635,                0.84213,                0.83313,                0.72209,                0.79498,                0.54184,                 1.2686,                0.96723,                  1.656,               0.002245,               0.002245,               0.002245
