                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.57588,                0.41808,                 1.0036,                0.92962,                 0.9032,                0.94669,                0.62181,                 1.3105,                0.69362,                 1.8195,              0.0059575,              0.0059575,              0.0059575
                     51,                0.57066,                0.41427,                0.99936,                0.91253,                0.92308,                0.95627,                0.61727,                 1.2958,                0.71997,                 1.7681,               0.005875,               0.005875,               0.005875
                     52,                0.56933,                0.41374,                0.99733,                0.94178,                0.89744,                0.95984,                0.62816,                 1.3117,                0.69802,                 1.8356,              0.0057925,              0.0057925,              0.0057925
                     53,                0.54711,                0.40297,                0.98123,                0.93306,                0.89356,                0.96039,                0.64709,                 1.2904,                0.67557,                  1.778,                0.00571,                0.00571,                0.00571
                     54,                0.55037,                0.40812,                0.98283,                0.92243,                0.91472,                0.95989,                0.62199,                 1.3272,                0.69172,                 1.8553,              0.0056275,              0.0056275,              0.0056275
                     55,                 0.5555,                0.40133,                0.98352,                 0.9521,                0.90598,                0.95516,                0.62561,                 1.2913,                0.69064,                 1.7712,               0.005545,               0.005545,               0.005545
                     56,                 0.5404,                0.39282,                0.97364,                0.97135,                0.86937,                0.95546,                 0.6351,                 1.2925,                0.69255,                 1.7696,              0.0054625,              0.0054625,              0.0054625
                     57,                0.53177,                0.39461,                0.96479,                0.91677,                0.92735,                0.95812,                0.63082,                 1.2759,                0.67325,                 1.7545,                0.00538,                0.00538,                0.00538
                     58,                0.52524,                 0.3879,                0.96057,                0.93397,                0.90672,                0.95119,                0.62818,                 1.2637,                 0.6954,                 1.7377,              0.0052975,              0.0052975,              0.0052975
                     59,                0.51998,                 0.3916,                0.95587,                0.94229,                0.88034,                 0.9464,                0.62059,                  1.288,                0.67746,                 1.7937,               0.005215,               0.005215,               0.005215
                     60,                0.50428,                0.38772,                0.94729,                0.91755,                0.90355,                0.95247,                0.63056,                 1.2978,                 0.6885,                 1.7768,              0.0051325,              0.0051325,              0.0051325
                     61,                0.51582,                0.38576,                0.95452,                0.91791,                 0.9079,                0.95623,                0.63347,                  1.283,                0.68905,                 1.7747,                0.00505,                0.00505,                0.00505
                     62,                0.51079,                0.37611,                0.94654,                0.93362,                 0.9016,                0.94473,                0.62175,                 1.2877,                0.69737,                 1.7831,              0.0049675,              0.0049675,              0.0049675
                     63,                 0.4889,                0.36967,                0.93167,                0.94512,                0.89744,                0.95847,                0.63895,                 1.2812,                0.68708,                 1.7934,               0.004885,               0.004885,               0.004885
                     64,                0.48321,                0.36482,                0.93819,                0.93667,                0.88496,                0.95298,                0.63451,                  1.275,                0.67862,                 1.7533,              0.0048025,              0.0048025,              0.0048025
                     65,                0.47896,                0.35922,                0.92666,                0.90321,                0.91727,                0.95378,                0.62752,                 1.2936,                0.69577,                 1.7962,                0.00472,                0.00472,                0.00472
                     66,                 0.4709,                0.35678,                0.92584,                0.92962,                0.90171,                0.95344,                0.62447,                 1.2899,                0.67976,                 1.7945,              0.0046375,              0.0046375,              0.0046375
                     67,                0.48526,                0.36376,                0.93264,                0.93317,                0.89316,                0.95439,                0.63552,                 1.2824,                0.67917,                 1.7956,               0.004555,               0.004555,               0.004555
                     68,                0.46925,                0.35613,                 0.9187,                0.91384,                0.90656,                0.94112,                0.62843,                 1.2816,                0.70408,                 1.7907,              0.0044725,              0.0044725,              0.0044725
                     69,                0.46623,                 0.3573,                0.91829,                0.93337,                0.89797,                0.95524,                0.62792,                 1.2799,                0.69165,                 1.7896,                0.00439,                0.00439,                0.00439
                     70,                 0.4656,                0.35045,                0.91164,                0.88962,                   0.93,                0.95083,                0.62772,                 1.2773,                0.68339,                 1.7819,              0.0043075,              0.0043075,              0.0043075
